,label,times
842,鹿皮,1
843,蛮王柯南,1
844,拳皇,1
845,八神庵,1
846,太空堡垒,1
847,Airforce Delta,1
848,飞行员,1
849,雷德巴德,1
850,围城之日,1
851,钢铁猛兽Pro PE,1
852,钢铁猛兽,1
853,高墙边的混乱,1
854,模仿游戏,1
855,Jaws Unleashed,1
856,雷电行动,1
857,Nuon,1
858,诺基亚,1
859,N-Gage,1
860,Playdia,1
861,Loopy,1
862,Zeebo,1
863,极品飞车：无极限,1
864,养家之人,1
865,飞行模拟,1
866,骑士陨落,1
867,物种灭绝,1
868,题材与风格\奇幻,1
869,梦工厂,1
870,埃及王子,1
871,谍报小说,1
872,摩萨德,1
873, 游戏叙事,1
874,涌现式设计,1
875,算法,1
876,元宇宙,1
877,机器学习,1
878,巨大机器人,1
879,背景设定,1
880,西班牙,1
881,德国,1
882,彩虹六号、挖掘、探究,1
883,地海传奇,1
884,禅,1
885,阿尔杰农·布莱克伍德,1
886,亚瑟·梅琴,1
887,林·卡特,1
888,种族主义,1
889,人造意识,1
890,邓萨尼,1
891,科幻文学,1
892,亨利·库特纳,1
893,Gangbeasts,1
894,布娃娃物理,1
895,个人评测,1
896,三国志大战,1
897,霸三国志大战,1
898,世嘉,1
899,南梦宫,1
900,无主之地,1
901,女性玩家,1
902,圣诞特快,1
903,圣诞节,1
904,永恒光辉,1
905,最终幻想13,1
906,帕斯亚科技,1
907,Steam小游戏推荐,1
908,迷雾之夏,1
909,永进,1
910,未授权游戏,1
911,济科足球,1
912,妖精的尾巴,1
913,光荣,1
914,襟川惠子,1
915,亚马逊,1
916,应援团,1
917,生化危机逃出生天,1
918,Role Playing,1
919,轩辕剑柒,1
920,吉原,1
921,GAME OVER,1
922,太空侵略者,1
923,猫娘,1
924,新宿,1
925,有趣广告,1
926,怒罗权,1
927,黑道,1
928,目黑将司,1
929,声优,1
930,炼金工房 ～黄昏之炼金术士三部曲～ DX,1
931,三国志汉末霸业,1
932,病病神社建造中,1
933,迷失岛3,1
934,Silver Night's Crusaders,1
935,终结者 抵抗,1
936,70年代风格机器人动画游戏 杰比P-X,1
937,魔法门,1
938,魔法门6： 天堂之令,1
939,疯狂猎杀者 金属力量,1
940,16-BIT,1
941,游戏制作,1
942,它来自沙漠,1
943,米克·戈登,1
944,双截龙,1
945,龙之天堂,1
946,极度恐慌,1
947,塔罗牌,1
948,璀璨宝石,1
949,十字军：祢的旨意,1
950,电波同步,1
951,污痕圣杯：阿瓦隆的陨落,1
952,黑故事,1
953,灵笼,1
954,名侦大赛,1
955,文艺复兴,1
956,埃及人：流沙,1
957,弹丸甜心,1
958,追猎求生,1
959,卡坦岛,1
960,童话森林,1
961,圣符国度,1
962,镰刀战争,1
963,太空回响,1
964,小小史诗：星系,1
965,妙笔神猜,1
966,魔戒：中洲征途,1
967,实体书,1
968,博物世界 美术馆,1
969,夜幕降临,1
970,CliniC主题诊所,1
971,方尖碑,1
972,凯吕斯1303,1
973,时间守望,1
974,走开，大坏蛋！,1
975,众筹,1
976,探险者日志,1
977,掌控的历史,1
978,塔防,1
979,皇家守卫军,1
980,穿越拆弹,1
981,名律对决,1
982,古早桌游,1
983,南极大作战,1
984,魔力灯笼,1
985,国际象棋,1
986,大搜查！,1
987,奥法之战,1
988,最后的欧若拉,1
989,桌游设计指南,1
990,黑猫侦探,1
991,Linkit,1
992,强国争坝,1
993,松鼠取坚果,1
994,矮人总动员,1
995,无可挑剔的恋爱喜剧,1
996,青涩宝贝,1
997,约会大作战,1
998,Hiten,1
999,魔法少女奈叶,1
1000,藤真拓哉,1
1001,桜日梯子,1
1002,我让最想被拥抱的男人给威胁了,1
1003,刀剑神域,1
1004,川原砾,1
1005,abec,1
1006,在地下城寻求邂逅是否搞错了什么,1
1007,大森藤野：,1
1008,大坪由佳,1
1009,片冈智,1
1010,弹丸论破,1
1011,森见登美彦,1
1012,企鹅公路,1
1013,美树本晴彦,1
1014,门胁舞以,1
1015,Twinkle,1
1016,春风刹那,1
1017,八宝備仁,1
1018,大张正己,1
1019,超级机器人,1
1020,海原望,1
1021,漆黑的子弹,1
1022,白仓伸一郎,1
1023,加速世界,1
1024,失忆症：重生,1
1025,龙珠,1
1026,开罗游戏,1
1027,恋爱,1
1028,vr音乐游戏,1
1029,魔兽故事,1
1030,皮雕,1
1031,电影剧本,1
1032,其他创意领域\Cosplay,1
1033,全景,1
1034,仿生人,1
1035,3dcg,1
1036,魔法气泡 特趣思 俄罗斯方块2,1
1037,俄罗斯方块,1
1038,噗哟噗哟,1
1039,舞力全开,1
1040,风来的西林 5 Plus,1
1041,特鲁尼克大冒险,1
1042,宝可梦救助队,1
1043,世界树迷宫,1
1044,精灵宝可梦 进化,1
1045,GBM,1
1046,哈回顾,1
1047,任天堂直面会,1
1048,曲途,1
1049,大佬竞速,1
1050,竞速,1
1051,山脊赛车,1
1052,OutRun,1
1053,梦游美国,1
1054,电车go,1
1055,电车Go！Final,1
1056,战斗蛙,1
1057,IronMaiden,1
1058,No Straight Road,1
1059,GUILT: The Deathless ,1
1060,异型黑胶,1
1061,吉他英雄live,1
1062,Clone hero,1
1063,Frets on Fire,1
1064,Hunt Down,1
1065,暴徒猎手,1
1066,强风吹拂,1
1067,跑步,1
1068,Cytus II,1
1069,gnod,1
1070,罗德岛战记,1
1071,高达百景,1
1072,PlayStation 2,1
1073,麻将,1
1074,克劳德,1
1075,太空频道5,1
1076,太空频道5 VR 新星舞蹈秀,1
1077,冬季恋歌,1
1078,喜剧明星,1
1079,京味电影,1
1080,重金属摇滚双面人,1
1081,无限回廊,1
1082,乐可乐可,1
1083,勇者别嚣张,1
1084,重金属摇滚双面城,1
1085,DualShock 4 Back Button Attachment,1
1086,PS4 背侧板,1
1087,DualShock 4,1
1088,忍者宝盒,1
1089,无双大蛇3 终极版,1
1090,三辻富貴朗,1
1091,泡泡龙,1
1092,魔装机神,1
1093,钢铁雄心4,1
1094,抢滩登陆,1
1095,理查德·加里奥特,1
1096,澄海3C,1
1097,远程教育系统,1
1098,柏拉图系统,1
1099,古希腊神话,1
1100,神话之城,1
1101,印度神话,1
1102,古罗马,1
1103,奥兰多,1
1104,非洲,1
1105,暗夜呢喃,1
1106,印加神话,1
1107,印加文明,1
1108,斯里兰卡,1
1109,游戏剧情,1
1110,末弘秀孝,1
1111,电竞,1
1112,故事与设定\个人原创\世界观设计,1
1113,外挂,1
1114,supercell,1
1115,Brawl Stars,1
1116,光线追踪,1
1117,NVIDIA RTX,1
1118,英伟达,1
1119,游戏叙事,1
1120,白色相簿2,1
1121,VG百科,1
1122,围棋,1
1123,街头霸王,1
1124,罐头,1
1125,战争机器,1
1126,伊苏 起源,1
1127,金基德,1
1128,女性,1
1129,斩魔大圣,1
1130,木乃伊,1
1131,魔女之家,1
1132,艾莲日记,1
1133,哈斯塔,1
1134,小短文,1
1135,GDC 2020,1
1136,蝙蝠侠黑暗骑士,1
1137,figma,1
1138,圆谷,1
1139,ACRO,1
1140,GSC,1
1141,ThreeA,1
1142,SHF,1
1143,金刚狼,1
1144,迪士尼影业,1
1145,卢卡斯影业,1
1146,迪士尼动画工作室,1
1147,迪士尼投资者日2020,1
1148,查尔斯·C·摩根,1
1149,唐·德弗洛,1
1150,Michal Dziekan,1
1151,Spomenik,1
1152,最后与最初的人类,1
1153,Jóhann Jóhannsson,1
1154,DC FanDome,1
1155,华纳兄弟影业,1
1156,蝙蝠侠（2021）,1
1157,美国忍者勇士,1
1158,极限体能王,1
1159,城市之间,1
1160,Buzzfeed Unsolved,1
1161,LEMMiNO,1
1162,X调查,1
1163,日谈物语,1
1164,SB Nation,1
1165,音乐音效\分析与见解,1
1166,芬达,1
1167,Vinheteiro,1
1168,L'Inconnue de la Seine,1
1169,塞纳河畔的未名少女,1
1170,罗杰·狄金斯,1
1171,The Hollywood Reporter,1
1172,Barbie,1
1173,芭比娃娃,1
1174,旋涡,1
1175,大卫林奇,1
1176,核市奇谭,1
1177,野良犬,1
1178,寻枪,1
1179,阅读,1
1180,黑色电影,1
1181,巫师,1
1182,漫长的告别,1
1183,故宫,1
1184,解谜,1
1185,密室逃脱,1
1186,垃圾游戏,1
1187,足球教练,1
1188,灌篮高手,1
1189,比尔和泰德寻歌记,1
1190,犬神家族,1
